Component,State/Province,Dentitions,Foetal remains,Collection issues,Foetal remains description,Point style,RC age (95% intrvls),Med cal age,Reference,Pages,Notes
12 Mile Creek,Kansas,no,no,yes,"One foetal skeleton situated within a female skeleton, missing in assemblage but mentioned in original report",fluted,"12664-12367, 12357-12227, 12211-12145 (bone collagen; CAMS-16072)",12473,"Rogers, Richard A., Martin, Larry D., 1984. The 12 Mile Creek Site: A Reinvestigation. American Antiquity 49(4): 757-764.",759,"Radiocarbon date from Hill (1996, Plains Anthropologist 41(158): 359-372). The single projectile point associated with the faunal remains was stolen, and debate has ensued about its typology. The radiocarbon date is consistent with early Paleo, and I therefore default to a fluted point classification here."
Agate Basin: Agate Basin Component,Wyoming,yes,yes,no,NISP=1,unfluted,13331-10574 (charcoal; RL-557),12067,"Zeimens, George M., 1982. Analysis of Postcranial Bison Remains. In The Agate Basin Site: A Record of the Paleoindian Occupation of the Northwestern High Plains, Frison, George C., Stanford, Dennis J. (eds.), pp. 213-239. Percheron Press, Clinton Corners.",229,
Agate Basin: Folsom Component,Wyoming,yes,yes,no,NISP=3,fluted,"12975-12521, 12475-12429 (charcoal; SI-3733)",12695,"Zeimens, George M., 1982. Analysis of Postcranial Bison Remains. In The Agate Basin Site: A Record of the Paleoindian Occupation of the Northwestern High Plains, Frison, George C., Stanford, Dennis J. (eds.), pp. 213-239. Percheron Press, Clinton Corners.",229,
Agate Basin: Hell Gap Component,Wyoming,yes,no,no,,unfluted,12651-11989 (charred log; SI-4430),12323,"Zeimens, George M., 1982. Analysis of Postcranial Bison Remains. In The Agate Basin Site: A Record of the Paleoindian Occupation of the Northwestern High Plains, Frison, George C., Stanford, Dennis J. (eds.), pp. 213-239. Percheron Press, Clinton Corners.",229,
Allen: IZ,Nebraska,unknown,no,no,,unknown,"11088-10918, 10899-10509 (humates; TX-8223a)",10728,"Hudson, Jean, 2007. Faunal Evidence for Subsistence and Settlement Patterns at the Allen Site. In The Allen Site: A Paleoindian Camp in Southwestern Nebraska, Bamforth, Douglas B. (ed.), pp. 194-226. University Press of New Mexico, Albuquerque.",205,
Allen: OL1,Nebraska,unknown,yes,no,MNI=1,unfluted,"12807-11068, 11016-11009, 10957-10863, 10850-10798 (charcoal; TX-6596)",11959,"Hudson, Jean, 2007. Faunal Evidence for Subsistence and Settlement Patterns at the Allen Site. In The Allen Site: A Paleoindian Camp in Southwestern Nebraska, Bamforth, Douglas B. (ed.), pp. 194-226. University Press of New Mexico, Albuquerque.",204,
Allen: OL2,Nebraska,unknown,no,no,,unknown,"9546-9253, 9160 (charcoal; TX-8464)",9441,"Hudson, Jean, 2007. Faunal Evidence for Subsistence and Settlement Patterns at the Allen Site. In The Allen Site: A Paleoindian Camp in Southwestern Nebraska, Bamforth, Douglas B. (ed.), pp. 194-226. University Press of New Mexico, Albuquerque.",205,
Aubrey: Area A,Texas,no,no,no,,unknown,13001-12703 (humates; SMU-2194),12817,"Yates, Bonnie C., Lundelius, Ernest L., Jr., 2001. Vertebrate Faunas from the AUbrey Clovis Site. In The Archaeology and Paleoecology of the Aubrey Clovis Site (41DN479) Denton County, Texas, Ferring, C. Reid (ed.), pp. 103-120. Center for Environmental Archaeology, Department of Geography, University of North Texas, Denton.",NA,"Area A did not yield projectile points, but it is in all likelihood associated with the area that yielded the Clovis point. Conservatively marked as ""unknown"" here."
Badger Hole,Oklahoma,yes,unknown,no,,fluted,"12367-12356, 12232-12210, 12171-11954 (bone collagen; UCIAMS-98369)",12072,"Carlson, Kristen, 2015. The Development of Paleoindian Communal Bison Kills: A Comparison of Northern to Southern Plains Arroyo Traps. PhD dissertation, University of Oklahoma, Norman.",78,
Beacon Island,North Dakota,yes,no,no,,unfluted,"12388-12257, 12253-11987 (bone; CAMS-90966)",12165,"Borresen Lee, Jennifer, Bennett, Stacey D., Crawford, George T., 2012. In Agate Basin Archaeology at Beacon Island, North Dakota, Mitchell, Mark D. (ed.), pp. 85-112. Research Contribution No. 86. Report prepared by Paleocultural Research Groudp for State Historical Society of North Dakota.",103-111,
Big Lake,Texas,yes,no,no,,unfluted,8600-8014 (bone; TX-6165),8331,"Turpin, Solveig A., Bement, Leland C., Eling, Herbert H., Jr., 1997. Stuck in the Muck: The Big Lake Bison Kill Site (41RG13), West Texas. Plains Anthropologist 42(159): 119-133.",127,
Blackwater Draw: Evans Bonebed,New Mexico,no,no,yes,,unfluted,"10235-10107, 10102-9914 (sediment; SMU-1672)",10095,"Johnson, Eileen, Holliday, Vance T., 1997. Analysis of Paleoindian Bonebeds at the Clovis Site: New Data from Old Excavations. Plains Anthropologist 42(161): 329-352.",343-344,
Blackwater: Jelinek Bonebed,New Mexico,yes,no,yes,,fluted,"12933-12525, 12466-12435 (sediment; SMU-1880)",12695,"Johnson, Eileen, Holliday, Vance T., 1997. Analysis of Paleoindian Bonebeds at the Clovis Site: New Data from Old Excavations. Plains Anthropologist 42(161): 329-352.",337,
Bonfire Shelter: Bonebed 2,Texas,yes,no,yes,,unfluted,"12016-11075, 10946-10873 (charcoal; TX-657)",11446,"Byerly, Ryan M., Cooper, Judith R., Meltzer, David J., Hill, Matthew E., Je., LaBelle, Jason M., 2005. On Bonfire Shelter (Texas) as a Paleoindian Bison Jump: An Assessment Using GIS and Zooarchaeology. American Antiquity 70(4): 595-629.",610-612,"Mix of Plainview and Folsom points. Various charcoal RC dates are consistent with either techno complex. The date with the tightest error is also the youngest one, which is included here. Radiocarbon from Dibble (1970, Plains Anthropologist 15: 251-254)."
Boss Hill Locality 2,Alberta,unknown,unknown,no,,unfluted,9015-8418 (bone; S-1251),8728,"Doll, Maurice F.V., 1982. The Boss Hill Site (Fd Pe 4) Locality 2: Pre-Archaic Manifestations in the Parkland of Central Alberta, Canada. Human History Occasional Paper No. 2. Alberta Culture and Historical Resources Division, Edmonton.",NA,
Bull Creek,Oklahoma,unknown,yes,no,MNI=2,unfluted,"12717-12520, 12484-12427 (soil; Strat II-26)",12613,"Carlson, Kristen, Bement, Leland, 2017. The Bull Creek Site: Late Paleindian Encampment in the Oklahoma Panhandle. In Plainview: The Enigmatic Artifact Style of the Great Plains, Holliday, Vance T., Johnson, Eileen, Knudson, Ruthann (eds.), pp. 122-144. University of Utah Press, Salt Lake City.",136,
Burntwood Creek,Kansas,yes,no,yes,,unfluted,"10492-10454, 10441-10271 (charcoal; UCI-41890)",10374,"Hill, Matthew E., Jr., Hofman, Jack L., Martin, Larry D., 1992. A Reinvestigation of the Burntwood Creek Bison Bone Bed. Current Research in the Pleistocene 9: 99-102.",101,"Radiocarbon date from Murphy and Mandel (2012, Geoarchaeology 27: 344-362)."
Camp Rayner: Zone 7,Saskatchewan,no,no,no,,unfluted,"8949-8939, 8934-8921, 8860-8834, 8778-8594 (bone; Beta-414918)",8683,"Rychlo, Jennifer N., 2016. The Camp Rayner Site (EgNr-2): Terminal/Lae Paleoindian and Early Middle Period Transitions on the Northern Plains. MA thesis, University of Saskatchewan, Saskatoon.",77,
Carter/Kerr-McGee: Cody-Alberta Level,Wyoming,yes,yes,no,"MNI=2. Dentitions from two ""specimens"" are noted, presumed here to mean two individuals. NISP unknown.",unfluted,none,none,"Frison, George C., 1984. The Carter/Kerr-McGee Paleoindian Site: Cultural Resource Management and Archaeological Research. American Antiquity 49(2): 288-314.",292-293,The bone date from this level is young and considered by Frison to be unreliable
Carter/Kerr-McGee: Folsom,Wyoming,no,no,no,,fluted,"13388-10491, 10454-10439 (charcoal; RL-917)",12022,"Frison, George C., 1984. The Carter/Kerr-McGee Paleoindian Site: Cultural Resource Management and Archaeological Research. American Antiquity 49(2): 288-314.",300-305,"Lack of foetal remains inferred from discussion of such remains for the Cody-Alberta level, which is lacking here"
Carter/Kerr-McGee: Hell Gap-Agate Basin Level,Wyoming,no,no,no,,unfluted,none,none,"Frison, George C., 1984. The Carter/Kerr-McGee Paleoindian Site: Cultural Resource Management and Archaeological Research. American Antiquity 49(2): 288-314.",300,"Lack of foetal remains inferred from discussion of such remains for the Cody-Alberta level, which is lacking here"
Casper,Wyoming,yes,yes,no,MNI=3,unfluted,"12376-12341, 12301-12282, 12237-12196, 12189-11193 (bone; RL-208)",11649,"Wilson, Michael C., 1974. The Casper Local Bison and its Fossil Fauna. In The Casper Site: A Hell Gap Bison Kill on the High Plains, Frison, George C. (ed.), pp. 125-172. Percheron Press, Clinton Corners.",145-152,Remains are scattered across the site.
Cherokee Sewer: IIIa,Iowa,yes,yes,no,NISP=14,unfluted,"9515-9512, 9503-8349 (charocal; UCR-604)",8891,"Pyle, Katherine B., 1980. The Cherokee Sewer Large Mammal Fauna. In The Cherokee Sewer Excavations, Anderson, Duane C., Semken, Holmes A., Jr. (eds.), pp. 171-196. Academic Press, New York.",183,"A second radiocarbon date from this layer, UCLA-1877F, has a tighter error (200) and is also from charcoal associated with the bison bone. I selected sample UCR-604 because it is more stratigraphically consistent with the radiocarbon date from IIIb."
Cherokee Sewer: IIIb,Iowa,no,no,no,,unknown,"10165-8855, 8836-8777 (charcoal; UCR-490)",9424,"Pyle, Katherine B., 1980. The Cherokee Sewer Large Mammal Fauna. In The Cherokee Sewer Excavations, Anderson, Duane C., Semken, Holmes A., Jr. (eds.), pp. 171-196. Academic Press, New York.",183,
Clary Ranch,Nebraska,yes,no,no,,unfluted,10243-10182 (bone collagen; CAMS-105849),10215,"Hill, Matthew G., May, David W., Rapson, David J., Boehm, Andrew R., Otarola-Castillo, Erik, 2008. Faunal Exploitation by Early Holocene Hunter/Gatherers on the Great Plains of North America: Evidence from the Clary Ranch Sites. Quaternary International 191: 115-130.",NA,"Lack of foetal remains is inferred from the discussion of such remains at OV Clary, within the same publication."
Cooper: Lower,Oklahoma,yes,no,no,,fluted,"12652-12520, 12491-12427 (collagen; PSU-6078)",12560,"Bement, Leland C., 1999. Bison Hunting at Cooper Site: Where Lightning Bolts Drew Thundering Herds. University of Oklahoma Press, Norman.",104,"Radiocarbon dates from Carlson et al. (2016, PaleoAmerica 2(2): 90-98)."
Cooper: Middle,Oklahoma,yes,no,no,,fluted,"12647-12518, 12495-12426 (collagen; PSU-6075)",12553,"Bement, Leland C., 1999. Bison Hunting at Cooper Site: Where Lightning Bolts Drew Thundering Herds. University of Oklahoma Press, Norman.",84,"Radiocarbon dates from Carlson et al. (2016, PaleoAmerica 2(2): 90-98)."
Cooper: Upper,Oklahoma,yes,no,no,,fluted,12571-12413 (collagen; PSU-6074),12487,"Bement, Leland C., 1999. Bison Hunting at Cooper Site: Where Lightning Bolts Drew Thundering Herds. University of Oklahoma Press, Norman.",54-56,"Radiocarbon dates from Carlson et al. (2016, PaleoAmerica 2(2): 90-98)."
Everblue Springs,Alberta,yes,yes,no,"MNI=2, NISP=8",unfluted,"8387-8154, 8140-8133, 8119-8107, 8093-8052 (collagen; Beta-204365)",8258,"Vivian, Brian, Dow, Amanda, Blakey, Janet, Rose, Jason, 2011. The Everblue Springs Site and Early Transitional Bison Kill Sites of the Alberta Foothills 7,200 Years Ago. Occassional Papers of the Archaeological Society of Alberta No. 11. Archaeological Society of Alberta, Edmonton.",63-67,
Finley,Wyoming,yes,no,yes,,unfluted,"10540, 10520-10193 (bone; SMU-277)",10340,"Haspel, Howard, Frison, George C., 1987. The Finley Site Bison Bone. In The Horner Site: The Type Site of the Cody Cultural Complex, Frison, George C., Todd, Lawrence C. (eds.), pp. 475-492. Academic Press, Orlando.",490,"Radiocarbon date from Miller and Frison (2009, Data Recovery and Mapping in the Finley Site Area, 1987. The Wyoming Archaeologist 53(1): 9-24)."
Fletcher,Alberta,no,no,no,,unfluted,none,none,"Wilson, Michael C., MacWilliams, Arthur C., 1987. Preliminary Geoarchaeological Studies at the Fletcher Paleo-Indian Bison Kill Site (Alberta/Scottsbluff), Southern Alberta. Alberta Archaeological Review 14: 12-15. ",13,Wilson and MacWilliams believe the extant Fletcher radiocarbon record is unreliable
Folsom,New Mexico,yes,no,no,,fluted,"12654-12379, 12330-12304, 12279-12238 (bone; CAMS-74655)",12484,"Meltzer, David J., 2006. Folsom: New Archaeological Investigations of a Classic Paleoindian Bison Kill. Univesity of California Press, Berkeley.",236,
Frasca,Colorado,yes,yes,no,"MNI~5, NISP=46",unfluted,"10229-9731, 9721-9705 (bone; SI-4848)",10007,"Fulgham, Tommy, Stanford, Dennis, 1982. The Frasca Site: A Preliminary Report. Southwestern Lore 48(1): 1-9.",5,
Frazier,Colorado,no,no,yes,,unfluted,13462-13307 (bone; CURL-8606),13394,"Borresen, Jennifer A., 2002. A Funal Analysis of the Frazier Site, an Agate Basin-Age Bison Kill-Butchery Site in Northeastern Colorado. MA thesis, University of Tennessee, Knoxville.",42-48,"Dates are unusually old for AB, but taken as valid by the investigators (Lee et al., 2011. Plains Anthropologist 56(219): 243-258.)"
Hell Gap I: Early components (Goshen and Folsom),Wyoming,yes,no,yes,,fluted,11505-13014 (modelled),12204,"Rapson, David J., Niven, Larua B., 2009. Faunal Assemblage, 1960-1966. In Hell Gap: A Stratified Paleoindian Campsite at the Edge of the Rockies, Larson, Mary Lou, Kornfeld, Marcel, Frison, George C. (eds.), pp. 111-134. University of Utah Press, Salt Lake City.",115-119,"Rapson and Niven note that the assemblage suffers from some excavation and curation biases. Radiocarbon ages based on age-depth model presented by Pelton et al. 2017 (Quaternary Research 88: 324-247). Goshen is an unfluted point style, but it is coded here as fluted since it is contempraenous with other early Paleo components"
