Provenience,ID,element,length,depth,source
Uppert Tucker Site,1,radius,129.22,14.61,"Breslawski & Playford, 2017"
Uppert Tucker Site,2,tibia,172.64,18.71,"Breslawski & Playford, 2017"
Uppert Tucker Site,3,humerus,138.06,25.19,"Breslawski & Playford, 2017"
Uppert Tucker Site,31,humerus,129.43,21.19,"Breslawski & Playford, 2017"
Uppert Tucker Site,77,tibia,160.52,16.99,"Breslawski & Playford, 2017"
Baker Cave III,287,radius,61.3,7.7,"Breslawski & Playford, 2017"
Baker Cave III,492,humerus,92,17.1,"Breslawski & Playford, 2017"
Baker Cave III,499,radius,72,9.1,"Breslawski & Playford, 2017"
Baker Cave III,705,radius,38.4,4.7,"Breslawski & Playford, 2017"
Baker Cave III,1011,radius,56.7,6.8,"Breslawski & Playford, 2017"
Baker Cave III,1568,tibia,34.3,4.4,"Breslawski & Playford, 2017"
Baker Cave III,1995,radius,80.6,9.7,"Breslawski & Playford, 2017"
Baker Cave III,2345,femur,44,7.1,"Breslawski & Playford, 2017"
Baker Cave III,2542,tibia,69.2,8.5,"Breslawski & Playford, 2017"
Baker Cave III,3721,tibia,86,11.8,"Breslawski & Playford, 2017"
Baker Cave III,3859,tibia,67.1,8.9,"Breslawski & Playford, 2017"
Baker Cave III,4493,tibia,57.9,8,"Breslawski & Playford, 2017"
Baker Cave III,5277,femur,63.8,9.9,"Breslawski & Playford, 2017"
Baker Cave III,5317,femur,37.2,6.6,"Breslawski & Playford, 2017"
Baker Cave III,5446,radius,35.5,4.1,"Breslawski & Playford, 2017"
Baker Cave III,5494,humerus,90.4,16.8,"Breslawski & Playford, 2017"
Baker Cave III,5546,radius,62.1,8.2,"Breslawski & Playford, 2017"
Baker Cave III,5684,tibia,43.3,4.9,"Breslawski & Playford, 2017"
Baker Cave III,5685,radius,36.1,4.2,"Breslawski & Playford, 2017"
Roberts Ranch,7097.1,humerus,54.32,10.49,"Johnston, 2016"
Roberts Ranch,7098.1,femur,55.45,10.01,"Johnston, 2016"
Roberts Ranch,7100.4,femur,47.45,7.11,"Johnston, 2016"
Roberts Ranch,7101.1,radius,60,7.47,"Johnston, 2016"
Roberts Ranch,7103.1,tibia,72.45,10.86,"Johnston, 2016"
Roberts Ranch,7103.11,tibia,33.16,4.92,"Johnston, 2016"
Roberts Ranch,7103.14,humerus,25.76,6.06,"Johnston, 2016"
Roberts Ranch,7105.1,tibia,64.28,7.91,"Johnston, 2016"
Roberts Ranch,7106.1,femur,60.81,10.14,"Johnston, 2016"
Roberts Ranch,7112.1,radius,43.14,5.73,"Johnston, 2016"
Roberts Ranch,7114.1,radius,60.25,8.22,"Johnston, 2016"
Roberts Ranch,7114.2,radius,62.87,7.4,"Johnston, 2016"
Roberts Ranch,7116.3,femur,62.1,11.34,"Johnston, 2016"
Roberts Ranch,7123.4,humerus,31.19,6.51,"Johnston, 2016"
Roberts Ranch,7126.3,radius,59.18,7.17,"Johnston, 2016"
Roberts Ranch,7126.6,femur,50.13,8.65,"Johnston, 2016"
Roberts Ranch,7127.11,radius,50.66,7.25,"Johnston, 2016"
Roberts Ranch,7127.2,tibia,70.48,10.04,"Johnston, 2016"
Roberts Ranch,7127.3,radius,41.73,5.59,"Johnston, 2016"
Roberts Ranch,7132.1,tibia,75.28,10.21,"Johnston, 2016"
Roberts Ranch,7095.1REV,radius,62.66,8.11,"Johnston, 2016"
University of Wyoming Archaeological Repository,8206Ba,radius,140.15,15.73,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8206Ba,radius,141.57,17.03,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8206Ba,humerus,148.1,23.26,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8206Ba,humerus,151,23.95,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8206Ba,femur,159.35,21.93,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8206Ba,femur,159.62,21.66,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8206Ba,tibia,178,20.34,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8206Ba,tibia,180,20,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8206Bb,radius,122.17,14.86,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8206Bb,radius,122.77,15.53,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8206Bb,humerus,130.61,20.31,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8206Bb,humerus,130.96,20.08,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8206Bb,femur,147.03,20.33,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8206Bb,femur,147.72,20.12,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8206Bb,tibia,161,18.26,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8206Bb,tibia,163,18.14,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8213B,humerus,130.15,19.92,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8213B,radius,130.17,13.66,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8213B,radius,130.25,13.83,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8213B,humerus,131.19,20.04,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8213B,femur,152,19.98,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8213B,femur,153,19.18,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8213B,tibia,170,17.96,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8213B,tibia,172,17.97,"Breslawski & Playford, 2017"
University of Wyoming Archaeological Repository,8219B,humerus,88.7,14.23,"Breslawski & Playford, 2017"
