element,side,sex,form,metric_value,"dimension[Todd, 1987b]",source
humerus,r,male,modern,341,HM2,Todd 1983
humerus,l,male,modern,339,HM2,Todd 1983
humerus,r,male,modern,340,HM2,Todd 1983
humerus,l,male,modern,340,HM2,Todd 1983
humerus,r,male,modern,327,HM2,Todd 1983
humerus,l,male,modern,328,HM2,Todd 1983
humerus,r,male,modern,335,HM2,Todd 1983
humerus,l,male,modern,336,HM2,Todd 1983
humerus,r,female,modern,300,HM2,Todd 1983
humerus,l,female,modern,300,HM2,Todd 1983
humerus,l,female,modern,291,HM2,Todd 1983
humerus,r,female,modern,288,HM2,Todd 1983
humerus,l,female,modern,287,HM2,Todd 1983
humerus,r,female,modern,281,HM2,Todd 1983
humerus,l,female,modern,281,HM2,Todd 1983
humerus,r,female,modern,278,HM2,Todd 1983
humerus,l,female,modern,278,HM2,Todd 1983
humerus,r,female,modern,301,HM2,Todd 1983
humerus,l,female,modern,301,HM2,Todd 1983
humerus,r,female,modern,281,HM2,Todd 1983
humerus,l,female,modern,279,HM2,Todd 1983
humerus,r,female,modern,294,HM2,Todd 1983
humerus,l,female,modern,293,HM2,Todd 1983
humerus,r,female,modern,287,HM2,Todd 1983
humerus,l,female,modern,286,HM2,Todd 1983
humerus,r,female,modern,279,HM2,Todd 1983
humerus,l,female,modern,276,HM2,Todd 1983
humerus,r,female,modern,283,HM2,Todd 1983
humerus,l,female,modern,282,HM2,Todd 1983
humerus,r,female,modern,297,HM2,Todd 1983
humerus,l,female,modern,295,HM2,Todd 1983
humerus,r,female,modern,299,HM2,Todd 1983
humerus,l,female,modern,300,HM2,Todd 1983
humerus,r,female,modern,286,HM2,Todd 1983
humerus,l,female,modern,286,HM2,Todd 1983
humerus,l,male,antiq,343,HM2,Todd 1983
humerus,l,male,antiq,348,HM2,Todd 1983
humerus,l,male,antiq,365,HM2,Todd 1983
humerus,l,male,antiq,346,HM2,Todd 1983
humerus,l,male,antiq,362,HM2,Todd 1983
humerus,r,male,antiq,362,HM2,Todd 1983
humerus,r,male,antiq,348,HM2,Todd 1983
humerus,l,male,antiq,353,HM2,Todd 1983
humerus,l,male,antiq,365,HM2,Todd 1983
humerus,r,male,antiq,343,HM2,Todd 1983
humerus,l,female,antiq,307,HM2,Todd 1983
humerus,l,female,antiq,313,HM2,Todd 1983
humerus,l,female,antiq,291,HM2,Todd 1983
humerus,r,female,antiq,300,HM2,Todd 1983
humerus,l,female,antiq,302,HM2,Todd 1983
humerus,r,female,antiq,293,HM2,Todd 1983
humerus,r,female,antiq,308,HM2,Todd 1983
humerus,l,female,antiq,304,HM2,Todd 1983
humerus,r,female,antiq,314,HM2,Todd 1983
humerus,r,female,antiq,315,HM2,Todd 1983
humerus,r,female,antiq,309,HM2,Todd 1983
humerus,l,female,antiq,315,HM2,Todd 1983
humerus,l,female,antiq,300,HM2,Todd 1983
femur,r,male,modern,429,FM2,Todd 1983
femur,l,male,modern,427,FM2,Todd 1983
femur,r,male,modern,433,FM2,Todd 1983
femur,l,male,modern,430,FM2,Todd 1983
femur,r,male,modern,428,FM2,Todd 1983
femur,l,male,modern,427,FM2,Todd 1983
femur,r,male,modern,434,FM2,Todd 1983
femur,l,male,modern,433,FM2,Todd 1983
femur,r,female,modern,375,FM2,Todd 1983
femur,l,female,modern,375,FM2,Todd 1983
femur,r,female,modern,376,FM2,Todd 1983
femur,l,female,modern,376,FM2,Todd 1983
femur,r,female,modern,362,FM2,Todd 1983
femur,l,female,modern,361,FM2,Todd 1983
femur,r,female,modern,388,FM2,Todd 1983
femur,l,female,modern,388,FM2,Todd 1983
femur,r,female,modern,356,FM2,Todd 1983
femur,l,female,modern,357,FM2,Todd 1983
femur,r,female,modern,380,FM2,Todd 1983
femur,l,female,modern,376,FM2,Todd 1983
femur,r,female,modern,372,FM2,Todd 1983
femur,l,female,modern,373,FM2,Todd 1983
femur,r,female,modern,359,FM2,Todd 1983
femur,l,female,modern,358,FM2,Todd 1983
femur,r,female,modern,369,FM2,Todd 1983
femur,l,female,modern,371,FM2,Todd 1983
femur,r,female,modern,378,FM2,Todd 1983
femur,l,female,modern,375,FM2,Todd 1983
femur,r,female,modern,386,FM2,Todd 1983
femur,l,female,modern,387,FM2,Todd 1983
femur,r,female,modern,367,FM2,Todd 1983
femur,l,female,modern,367,FM2,Todd 1983
femur,l,female,modern,384,FM2,Todd 1983
femur,r,female,modern,385,FM2,Todd 1983
femur,r,female,modern,388,FM2,Todd 1983
femur,r,male,antiq,438,FM2,Todd 1983
femur,l,male,antiq,435,FM2,Todd 1983
femur,l,male,antiq,441,FM2,Todd 1983
femur,r,male,antiq,438,FM2,Todd 1983
femur,l,male,antiq,435,FM2,Todd 1983
femur,l,male,antiq,456,FM2,Todd 1983
femur,l,female,antiq,411,FM2,Todd 1983
femur,l,female,antiq,403,FM2,Todd 1983
tibia,r,male,modern,412,TA1,Todd 1983
tibia,l,male,modern,411,TA1,Todd 1983
tibia,r,male,modern,414,TA1,Todd 1983
tibia,l,male,modern,416,TA1,Todd 1983
tibia,r,male,modern,399,TA1,Todd 1983
tibia,l,male,modern,398,TA1,Todd 1983
tibia,l,male,modern,421,TA1,Todd 1983
tibia,r,female,modern,382,TA1,Todd 1983
tibia,l,female,modern,380,TA1,Todd 1983
tibia,r,female,modern,372,TA1,Todd 1983
tibia,l,female,modern,370,TA1,Todd 1983
tibia,r,female,modern,371,TA1,Todd 1983
tibia,l,female,modern,370,TA1,Todd 1983
tibia,r,female,modern,360,TA1,Todd 1983
tibia,l,female,modern,360,TA1,Todd 1983
tibia,r,female,modern,359,TA1,Todd 1983
tibia,l,female,modern,357,TA1,Todd 1983
tibia,l,female,modern,363,TA1,Todd 1983
tibia,r,female,modern,389,TA1,Todd 1983
tibia,l,female,modern,387,TA1,Todd 1983
tibia,r,female,modern,347,TA1,Todd 1983
tibia,r,female,modern,375,TA1,Todd 1983
tibia,l,female,modern,373,TA1,Todd 1983
tibia,r,female,modern,370,TA1,Todd 1983
tibia,l,female,modern,370,TA1,Todd 1983
tibia,r,female,modern,351,TA1,Todd 1983
tibia,l,female,modern,350,TA1,Todd 1983
tibia,r,female,modern,364,TA1,Todd 1983
tibia,l,female,modern,364,TA1,Todd 1983
tibia,r,female,modern,371,TA1,Todd 1983
tibia,l,female,modern,371,TA1,Todd 1983
tibia,r,female,modern,382,TA1,Todd 1983
tibia,l,female,modern,381,TA1,Todd 1983
tibia,r,female,modern,375,TA1,Todd 1983
tibia,r,female,modern,388,TA1,Todd 1983
tibia,r,male,antiq,421,TA1,Todd 1983
tibia,r,male,antiq,435,TA1,Todd 1983
tibia,l,male,antiq,421,TA1,Todd 1983
tibia,l,male,antiq,435,TA1,Todd 1983
tibia,r,male,antiq,443,TA1,Todd 1983
tibia,l,female,antiq,399,TA1,Todd 1983
tibia,l,female,antiq,370,TA1,Todd 1983
tibia,r,female,antiq,397,TA1,Todd 1983
tibia,r,female,antiq,389,TA1,Todd 1983
tibia,r,female,antiq,385,TA1,Todd 1983
tibia,l,female,antiq,386,TA1,Todd 1983
tibia,r,female,antiq,376,TA1,Todd 1983
tibia,l,female,antiq,371,TA1,Todd 1983
tibia,l,female,antiq,399,TA1,Todd 1983
humerus,r,female,antiq,317,HM2,Haspel and Frison 1987
humerus,l,male,antiq,353,HM2,Haspel and Frison 1987
humerus,r,female,antiq,307,HM2,Haspel and Frison 1987
humerus,r,male,antiq,353,HM2,Haspel and Frison 1987
humerus,l,male,antiq,360,HM2,Haspel and Frison 1987
humerus,r,male,antiq,352,HM2,Haspel and Frison 1987
humerus,r,male,antiq,363,HM2,Haspel and Frison 1987
humerus,l,female,antiq,312,HM2,Haspel and Frison 1987
humerus,l,male,antiq,356,HM2,Haspel and Frison 1987
tibia,l,male,antiq,453,TA1,Haspel and Frison 1987
tibia,r,male,antiq,437,TA1,Haspel and Frison 1987
tibia,r,male,antiq,439,TA1,Haspel and Frison 1987
tibia,l,male,antiq,439,TA1,Haspel and Frison 1987
tibia,l,male,antiq,436,TA1,Haspel and Frison 1987
tibia,r,male,antiq,445,TA1,Haspel and Frison 1987
tibia,r,male,antiq,432,TA1,Haspel and Frison 1987
tibia,r,female,antiq,395,TA1,Haspel and Frison 1987
tibia,r,female,antiq,396,TA1,Haspel and Frison 1987
tibia,l,male,antiq,461,TA1,Haspel and Frison 1987
tibia,r,male,antiq,466,TA1,Haspel and Frison 1987
radius,r,male,antiq,382,RA2,Haspel and Frison 1987
radius,r,male,antiq,358,RA2,Haspel and Frison 1987
radius,r,male,antiq,355,RA2,Haspel and Frison 1987
radius,l,female,antiq,316,RA2,Haspel and Frison 1987
radius,l,male,antiq,374,RA2,Haspel and Frison 1987
radius,l,male,antiq,348,RA2,Haspel and Frison 1987
radius,r,female,antiq,325,RA2,Haspel and Frison 1987
radius,l,male,antiq,362,RA2,Haspel and Frison 1987
radius,r,male,antiq,382,RA2,Haspel and Frison 1987
radius,r,male,antiq,370,RA2,Haspel and Frison 1987
